scenarios=0.0-removed=4=16,18
scenarios=0.1-removed=4=5,8
scenarios=0.2-removed=4=10,15
scenarios=0.2-removed=4=3,4
scenarios=1.0-removed=12=10,11
scenarios=1.1-removed=12=3,4
scenarios=1.2-removed=12=7,9
scenarios=1.2-removed=12=14,19
scenarios=1.2-removed=12=1,2
scenarios=1.2-removed=12=6,8
scenarios=1.2-removed=12=1,3
scenarios=1.2-removed=12=10,18
scenarios=1.2-removed=12=15,16
scenarios=1.2-removed=12=15,19
scenarios=1.2-removed=12=5,6
scenarios=1.2-removed=12=5,8
scenarios=2.0-removed=4=5,8
scenarios=2.1-removed=4=11,13
scenarios=2.2-removed=4=10,15
scenarios=2.2-removed=4=1,3
scenarios=3.0-removed=12=13,14
scenarios=3.1-removed=12=4,5
scenarios=3.2-removed=12=3,7
scenarios=3.2-removed=12=1,4
scenarios=3.2-removed=12=14,15
scenarios=3.2-removed=12=14,19
scenarios=3.2-removed=12=14,20
scenarios=3.2-removed=12=0,2
scenarios=3.2-removed=12=15,16
scenarios=3.2-removed=12=5,8
scenarios=3.2-removed=12=5,6
